event_id,timestamp,task,event_type,severity,num_records,image_id,annotated_path,elapsed_ms,explanation,action_hint
342e46cd,2026-06-21T15:08:41,ocr,OCR_RESULT,NORMAL,1,stream_1782029314760_60,stream,1.42,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
41471071,2026-06-21T15:08:42,ocr,OCR_RESULT,NORMAL,1,stream_1782029314760_75,stream,1.43,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
6b83c485,2026-06-21T15:08:43,ocr,OCR_RESULT,NORMAL,1,stream_1782029314760_90,stream,1.21,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
1c93fef9,2026-06-21T15:08:45,ocr,OCR_RESULT,NORMAL,1,stream_1782029314760_105,stream,1.13,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
445f436f,2026-06-21T15:08:46,ocr,OCR_RESULT,NORMAL,1,stream_1782029314760_120,stream,1.22,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
7bc29054,2026-06-21T15:08:47,ocr,OCR_RESULT,NORMAL,1,stream_1782029314760_135,stream,0.8,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
6c412d49,2026-06-21T15:08:48,ocr,OCR_RESULT,NORMAL,1,stream_1782029314760_150,stream,0.89,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
3799aeae,2026-06-21T15:08:50,ocr,OCR_RESULT,NORMAL,1,stream_1782029314760_165,stream,0.79,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
4456366b,2026-06-21T15:08:52,detection,DETECTION_RESULT,WARNING,1,stream_1782029331779_0,stream,4.15,detection produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
a29c006f,2026-06-21T15:08:53,detection,DETECTION_RESULT,WARNING,5,stream_1782029331779_15,stream,2.79,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
9ee3126c,2026-06-21T15:08:55,detection,DETECTION_RESULT,WARNING,5,stream_1782029331779_30,stream,4.13,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
4cb83588,2026-06-21T15:08:56,detection,DETECTION_RESULT,WARNING,5,stream_1782029331779_45,stream,3.4,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
9d9420f1,2026-06-21T15:08:57,detection,DETECTION_RESULT,WARNING,5,stream_1782029331779_60,stream,3.8,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
aa218d48,2026-06-21T15:08:58,detection,DETECTION_RESULT,WARNING,5,stream_1782029331779_75,stream,3.76,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
bcd6c671,2026-06-21T15:09:00,detection,DETECTION_RESULT,WARNING,4,stream_1782029331779_90,stream,4.15,detection produced 4 record(s).,Display result on dashboard and review quality before using for automatic control.
6db5d553,2026-06-21T15:09:01,detection,DETECTION_RESULT,WARNING,5,stream_1782029331779_105,stream,4.09,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
07c290a0,2026-06-21T15:09:02,detection,DETECTION_RESULT,WARNING,5,stream_1782029331779_120,stream,3.83,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
d80d9a7c,2026-06-21T15:09:03,detection,DETECTION_RESULT,WARNING,4,stream_1782029331779_135,stream,3.88,detection produced 4 record(s).,Display result on dashboard and review quality before using for automatic control.
a8039fc2,2026-06-21T15:09:05,detection,DETECTION_RESULT,WARNING,5,stream_1782029331779_150,stream,2.74,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
