record_id,timestamp,task,image_id,annotated_path,elapsed_ms,record_json
8f7e0c9c,2026-06-21T15:06:55,detection,stream_1782029210157_105,stream,2.76,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
f4d96f06,2026-06-21T15:06:56,detection,stream_1782029210157_120,stream,3.15,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.424, ""bbox"": [317, 157, 483, 323], ""engine"": ""fallback_contour_detector""}"
a89ad996,2026-06-21T15:06:56,detection,stream_1782029210157_120,stream,3.15,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
36fbcaea,2026-06-21T15:06:56,detection,stream_1782029210157_120,stream,3.15,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
6ea8c2bc,2026-06-21T15:06:56,detection,stream_1782029210157_120,stream,3.15,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
d2136b2b,2026-06-21T15:06:56,detection,stream_1782029210157_120,stream,3.15,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
ab0852ff,2026-06-21T15:06:56,detection,stream_1782029210157_135,stream,3.57,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.442, ""bbox"": [358, 157, 578, 323], ""engine"": ""fallback_contour_detector""}"
646fbd26,2026-06-21T15:06:56,detection,stream_1782029210157_135,stream,3.57,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
e7a7eb40,2026-06-21T15:06:56,detection,stream_1782029210157_135,stream,3.57,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
87fa53dc,2026-06-21T15:06:56,detection,stream_1782029210157_135,stream,3.57,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
f0c6013e,2026-06-21T15:06:56,detection,stream_1782029210157_135,stream,3.57,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
393af4d8,2026-06-21T15:06:57,detection,stream_1782029210157_150,stream,2.63,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.409, ""bbox"": [167, 157, 293, 303], ""engine"": ""fallback_contour_detector""}"
74724d28,2026-06-21T15:06:57,detection,stream_1782029210157_150,stream,2.63,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.39, ""bbox"": [358, 198, 483, 323], ""engine"": ""fallback_contour_detector""}"
cc2dce52,2026-06-21T15:06:57,detection,stream_1782029210157_150,stream,2.63,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
e86cae2b,2026-06-21T15:06:57,detection,stream_1782029210157_150,stream,2.63,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
28be3349,2026-06-21T15:06:57,detection,stream_1782029210157_150,stream,2.63,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
beef3343,2026-06-21T15:06:58,detection,stream_1782029210157_165,stream,2.56,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.429, ""bbox"": [302, 157, 483, 323], ""engine"": ""fallback_contour_detector""}"
c9bbc7b5,2026-06-21T15:06:58,detection,stream_1782029210157_165,stream,2.56,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
7dc42685,2026-06-21T15:06:58,detection,stream_1782029210157_165,stream,2.56,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
1e6ddfac,2026-06-21T15:06:58,detection,stream_1782029210157_165,stream,2.56,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
da916c1d,2026-06-21T15:06:58,detection,stream_1782029210157_165,stream,2.56,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
8d26c999,2026-06-21T15:06:59,detection,stream_1782029210157_180,stream,2.65,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.437, ""bbox"": [358, 157, 563, 323], ""engine"": ""fallback_contour_detector""}"
